reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,label,cleaning,case_folding,tokenisasi,normalize,stopwordsremoval,stemming
4883d3b9-e84d-4da5-ab92-b73b76ab4659,lianting,https://play-lh.googleusercontent.com/a/ACg8ocJoeeT4TyMrBrmmYLCuYm2E-eLZ3PsiQ5Z5HRrFqJhQehagYg=mo,tiba tiba log out.. udah masukin NIK dengan benar tapi dinyatakan salah hadeuuuuh,1,0,,2025-07-22 07:49:27,,,,Negatif,tiba tiba log out udah masukin nik dengan benar tapi dinyatakan salah hadeuuuuh,tiba tiba log out udah masukin nik dengan benar tapi dinyatakan salah hadeuuuuh,"['tiba', 'tiba', 'log', 'out', 'udah', 'masukin', 'nik', 'dengan', 'benar', 'tapi', 'dinyatakan', 'salah', 'hadeuuuuh']",tiba tiba log out sudah memasukkan nik dengan benar tapi dinyatakan salah aduh,"['tiba', 'tiba', 'out', 'memasukkan', 'nik', 'dinyatakan', 'aduh']","['tiba', 'tiba', 'out', 'memasukkan', 'nik', 'dinyatakan', 'aduh']"
b98ceb25-da0e-4b9c-b3d7-8ad25eec5589,assrageny 1030,https://play-lh.googleusercontent.com/a/ACg8ocKp5svRBDN8SLDBnWxNkIuHuUf4ycwH5NQF6QFnslIgxK_J7Q=mo,memudahkan masyarakat,5,0,4.12.0,2025-07-22 07:42:35,,,4.12.0,Positif,memudahkan masyarakat,memudahkan masyarakat,"['memudahkan', 'masyarakat']",memudahkan masyarakat,"['memudahkan', 'masyarakat']","['memudahkan', 'masyarakat']"
c9dd3db7-f546-48d6-8797-b5f0d26da73f,Evi Yanti,https://play-lh.googleusercontent.com/a/ACg8ocJQbxlcfkDG_lsFAG72aTcnFxcABCacNstlR1w3x4-nLnh6iw=mo,kembangkan terus untuk kesehatan yang lebih baik,5,0,,2025-07-22 07:39:23,,,,Positif,kembangkan terus untuk kesehatan yang lebih baik,kembangkan terus untuk kesehatan yang lebih baik,"['kembangkan', 'terus', 'untuk', 'kesehatan', 'yang', 'lebih', 'baik']",kembangkan terus untuk kesehatan yang lebih baik,"['kembangkan', 'kesehatan', 'baik']","['kembangkan', 'kesehatan', 'baik']"
379e3faa-ff13-4893-a99d-a9d72d788fcb,Fetrus Fet,https://play-lh.googleusercontent.com/a/ACg8ocKlHZtcktX8rM2LC7vF_aTUYXxzqzEn33h0sZH22FmfOcyoLw=mo,ok,5,0,4.13.0,2025-07-22 07:37:26,,,4.13.0,Positif,ok,ok,['ok'],oke,[],[]
999c738c-728c-4399-8d74-8ed7906a5f23,Nur Hayati,https://play-lh.googleusercontent.com/a/ACg8ocKXVRvgmZvoVY6zie9MxvcABEanGugWRYUwa3NcS_WCLwzAdQ=mo,bolak blik buka apk jkn suruh login ulang trus giliran udah login nmr NIK g sesuai ato sandi salah..gitu trus pdhal nomer aktf ....katanya mempermudah tapi kok gni,1,0,4.12.0,2025-07-22 07:28:41,,,4.12.0,Negatif,bolak blik buka apk jkn suruh login ulang trus giliran udah login nmr nik g sesuai ato sandi salahgitu trus pdhal nomer aktf katanya mempermudah tapi kok gni,bolak blik buka apk jkn suruh login ulang trus giliran udah login nmr nik g sesuai ato sandi salahgitu trus pdhal nomer aktf katanya mempermudah tapi kok gni,"['bolak', 'blik', 'buka', 'apk', 'jkn', 'suruh', 'login', 'ulang', 'trus', 'giliran', 'udah', 'login', 'nmr', 'nik', 'g', 'sesuai', 'ato', 'sandi', 'salahgitu', 'trus', 'pdhal', 'nomer', 'aktf', 'katanya', 'mempermudah', 'tapi', 'kok', 'gni']",bolak balik buka apakah jkn suruh login ulang terus giliran sudah login nomor nik tidak sesuai atau sandi salahgitu terus padahal nomer aktf katanya mempermudah tapi kok begini,"['bolak', 'balik', 'suruh', 'giliran', 'nik', 'sesuai', 'sandi', 'salahgitu', 'nomer', 'aktf', 'katanya', 'mempermudah', 'begini']","['bolak', 'balik', 'suruh', 'giliran', 'nik', 'sesuai', 'sandi', 'salahgitu', 'nomer', 'aktf', 'katanya', 'mempermudah', 'begini']"
744cacfc-9b5a-4fe4-95a2-f693187b0709,De Art,https://play-lh.googleusercontent.com/a/ACg8ocLrUefTOe3Z1zTW3oize7fOzTYv3MeHY_RtreLsApbbadP73A=mo,disuruh buat passwor yg susah diingat dan login biometrik sering hilang sendirinya.buat login ulang nunggu OTP SANGAT LAMBAT,1,0,4.13.0,2025-07-22 07:24:41,,,4.13.0,Negatif,disuruh buat passwor yg susah diingat dan login biometrik sering hilang sendirinyabuat login ulang nunggu otp sangat lambat,disuruh buat passwor yg susah diingat dan login biometrik sering hilang sendirinyabuat login ulang nunggu otp sangat lambat,"['disuruh', 'buat', 'passwor', 'yg', 'susah', 'diingat', 'dan', 'login', 'biometrik', 'sering', 'hilang', 'sendirinyabuat', 'login', 'ulang', 'nunggu', 'otp', 'sangat', 'lambat']",disuruh buat passwor yang susah diingat dan login biometrik sering hilang sendirinyabuat login ulang menunggu otp sangat lambat,"['disuruh', 'passwor', 'susah', 'diingat', 'biometrik', 'sering', 'hilang', 'sendirinyabuat', 'menunggu', 'sangat', 'lambat']","['disuruh', 'passwor', 'susah', 'diingat', 'biometrik', 'sering', 'hilang', 'sendirinyabuat', 'menunggu', 'sangat', 'lambat']"
46eb80b8-d9fb-4aec-8ed1-52bed8e9db05,Andhika Adi,https://play-lh.googleusercontent.com/a-/ALV-UjXAZSAy2lR2orR78qTid26sLNzrE7VOtlIr6wRY2GeojOv2gRD2,"tidak bisa verif wajah, kode otp sms sangat lama. aplikasi macem apa ini",1,0,4.13.0,2025-07-22 07:23:17,,,4.13.0,Negatif,tidak bisa verif wajah kode otp sms sangat lama aplikasi macem apa ini,tidak bisa verif wajah kode otp sms sangat lama aplikasi macem apa ini,"['tidak', 'bisa', 'verif', 'wajah', 'kode', 'otp', 'sms', 'sangat', 'lama', 'aplikasi', 'macem', 'apa', 'ini']",tidak bisa verifikasi wajah kode otp sms sangat lama aplikasi macam apa ini,"['sangat', 'macam']","['sangat', 'macam']"
b53b0a73-edf0-4975-8fea-144b18ba3707,Nurul Latifah,https://play-lh.googleusercontent.com/a-/ALV-UjWq-0VPw1K0CalYcmK0gUI6ljQlTI3iK6WJVFumrXvBi0LeXbc,"sempat bingung dgn APL ini,, karna baru pertama kali memakai dan LG ada masalah yg urgent,, tp Alhamdulillah semua bisa lancar karna sering cari"" info digoogle dan Pandawa. sekarang APL jkn sangat memudahkan kita dlm merubah data dan menambahkan anggota baru. terimakasih APL jkn.",5,0,4.13.0,2025-07-22 07:22:25,,,4.13.0,Positif,sempat bingung dgn apl ini karna baru pertama kali memakai dan lg ada masalah yg urgent tp alhamdulillah semua bisa lancar karna sering cari info digoogle dan pandawa sekarang apl jkn sangat memudahkan kita dlm merubah data dan menambahkan anggota baru terimakasih apl jkn,sempat bingung dgn apl ini karna baru pertama kali memakai dan lg ada masalah yg urgent tp alhamdulillah semua bisa lancar karna sering cari info digoogle dan pandawa sekarang apl jkn sangat memudahkan kita dlm merubah data dan menambahkan anggota baru terimakasih apl jkn,"['sempat', 'bingung', 'dgn', 'apl', 'ini', 'karna', 'baru', 'pertama', 'kali', 'memakai', 'dan', 'lg', 'ada', 'masalah', 'yg', 'urgent', 'tp', 'alhamdulillah', 'semua', 'bisa', 'lancar', 'karna', 'sering', 'cari', 'info', 'digoogle', 'dan', 'pandawa', 'sekarang', 'apl', 'jkn', 'sangat', 'memudahkan', 'kita', 'dlm', 'merubah', 'data', 'dan', 'menambahkan', 'anggota', 'baru', 'terimakasih', 'apl', 'jkn']",sempat bingung dengan apl ini karena baru pertama kali memakai dan lagi ada masalah yang urgent tapi alhamdulillah semua bisa lancar karena sering cari info digoogle dan pandawa sekarang apl jkn sangat memudahkan kita dalam mengubah data dan menambahkan anggota baru terima kasih apl jkn,"['sempat', 'bingung', 'apl', 'pertama', 'kali', 'memakai', 'urgent', 'alhamdulillah', 'lancar', 'sering', 'cari', 'digoogle', 'pandawa', 'sekarang', 'apl', 'sangat', 'memudahkan', 'mengubah', 'menambahkan', 'anggota', 'apl']","['sempat', 'bingung', 'apl', 'pertama', 'kali', 'memakai', 'urgent', 'alhamdulillah', 'lancar', 'sering', 'cari', 'digoogle', 'pandawa', 'sekarang', 'apl', 'sangat', 'memudahkan', 'mengubah', 'menambahkan', 'anggota', 'apl']"
92f1d024-cea0-4f6c-809b-55538f48d500,Alamhira zea alshafa Almahira zea alshafa,https://play-lh.googleusercontent.com/a/ACg8ocIV27MKcnESFywW0tDMY1w-RojULntld2BFKdbFhCETzLdNnA=mo,oke,5,0,,2025-07-22 07:18:38,,,,Positif,oke,oke,['oke'],oke,[],[]
25f9ce7c-c750-41f9-9b2f-4af8f468090d,Nurdin Barus,https://play-lh.googleusercontent.com/a-/ALV-UjUHh72mt_HGb0B1o5Xu00cilSwq20G519RB5PYha8U_L9ExN6k,oke,5,0,,2025-07-22 07:15:18,,,,Positif,oke,oke,['oke'],oke,[],[]
